identifier/0/__text,identifier/1/__text,title/__text,creator/0/__text,format/0/__text,format/1/__text,extent/__text,publisher/__text,date/__text,description/0/__text,description/1/__text,isVersionOf/__text,subject/0/__text,subject/1/__text,subject/2/__text,subject/3/__text,subject/4/__text,subject/5/__text,subject/6/__text,subject/7/__text,subject/8/__text,subject/9/__text,subject/10/__text,subject/11/__text,rights/__text,subject/12/__text,creator/1/__text,subject/13/__text,subject/14/__text,creator/2/__text,creator/3/__text,creator/4/__text,description/2/__text
74892847,http://digital.nls.uk/74892847,Massacre of Glencoe.,"Birt, Thomas, active 1824-1841",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,The massacre of Glencoe - first line reads: Dark lowered the night on the wild distant heath. The mariner's grave - first line reads: I remember the night was stormy and wet..,Electronic reproduction of: Massacre of Glencoe. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),"Europe, United Kingdom, England, Greater London, London (inhabited place)","Europe, United Kingdom, Scotland, Highland, Glencoe (valley)",,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892904,http://digital.nls.uk/74892904,Welcome to the 78th Highlanders.,"Schenck, Emil Ernst Friedrick Theodor, 1811-1885",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"The 78th Highlanders reached Edinburgh, amid much celebration, in February 1860. First line reads: Home again to Scotia's shore..",Electronic reproduction of: Welcome to the 78th Highlanders. 1 item ;  x  cm.,"Great Britain. Army. Regiment of Foot, 78th",Soldiers,Scottish,Ballads (documents),Woodcuts (prints),"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893147,http://digital.nls.uk/74893147,Gloomy winter's now awa'.,"Tannahill, Robert, 1774-1810",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Gloomy winter's now awa' - first line reads: Gloomy winter's now awa'. The banks of Doon - first line reads: Ye banks and braes of bonny Doon..,Electronic reproduction of: Gloomy winter's now awa'. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Winter,Rivers,Riverbanks,Landscapes (environments),Nature,Homo sapiens (species),"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, United Kingdom, Scotland, East Ayrshire, Doon (river)",,,Available under Creative Commons license; Attribution,,"Burns, Robert, 1759-1796",,,,,,
74893156,http://digital.nls.uk/74893156,"Public are respectfully informed, that there is now performing daily, from twelve to three o'clock, at the City Chambers, a new and most attractive pantomimical tragi-comedy, called Forlorn Hope, alias the life and death of Toryism, alias Chrononhoton.",,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: To arms - to arms - my good apothecary! In two columns. There is a variant in which the word 'deceptiovisive' in the second column has been misspelt 'deceptiovsive'..,"Electronic reproduction of: Public are respectfully informed, that there is now performing daily, from twelve to three o'clock, at the City Chambers, a new and most attractive pantomimical tragi-comedy, called Forlorn Hope, alias the life and death of Toryism, alias Chrononhoton. 1 item ;  x  cm.",Edinburgh (Scotland). City Council,Ballads (documents),Politics,City councils,Humor,"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)","Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892100,http://digital.nls.uk/74892100,Noble Duke and the parish of Chiswick.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,The noble Duke and the parish of Chiswick - first line reads: Come all you Chiswick heroes. The drapper of Kensal new town - first line reads: The drapper was a funny man..,Electronic reproduction of: Noble Duke and the parish of Chiswick. 1 item ;  x  cm.,Ballads (documents),Neighborhoods,Speculating,Dukes,"Europe, United Kingdom, England, Greater London, London (inhabited place)","Europe, United Kingdom, England, Greater London, Hounslow, Chiswick (neighborhood)",,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892421,http://digital.nls.uk/74892421,New song on the electric light.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"First line reads: Come friends draw near, and you shall/ hear. In two columns..",Electronic reproduction of: New song on the electric light. 1 item ;  x  cm.,Ballads (documents),Electric lighting,"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892841,http://digital.nls.uk/74892841,Kentish fire.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: A dark cloud rose across the snows and along the river stole. In one column with an illustration above the title..,Electronic reproduction of: Kentish fire. 1 item ;  x  cm.,Fenian Brotherhood,"Peace, Charles Frederick, 1832-1879",Ballads (documents),Woodcuts (prints),Coats of arms,Headpieces (layout features),"Europe, Republic of Ireland, Leinster, County Dublin, Dublin borough, Dublin (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893171,http://digital.nls.uk/74893171,"True ande most dolourous historie of the challenge which passed betweene Lokhearte, Emperoure of the Mohocks, and Skotte, King of the Baldwinians, in the which is narrated the melancolique and greivouse flight of the Emperoure and his squyar from the onslaughte.","Twaddeltone, Timothie",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"First line reads: God prosper longe good Eboyne. At head of text: imprinted by Baillie Blatherwyg, at the signe of the Blue Cowe, Totherwicke's Wynde, Edinboro, 1595. An account, in verse, of the duel fought, on Lockhart's behalf, by J.H. Christie and J. Scott which took place in 1821..","Electronic reproduction of: True ande most dolourous historie of the challenge which passed betweene Lokhearte, Emperoure of the Mohocks, and Skotte, King of the Baldwinians, in the which is narrated the melancolique and greivouse flight of the Emperoure and his squyar from the onslaughte. 1 item ;  x  cm.","Lockhart, J. G. (John Gibson), 1794-1854","Christie, Jonathon H.","Scott, John, 1783?-1832",Ballads (documents),Duels,"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,,Available under Creative Commons license; Attribution,,"Webster, David (Printer of Edinburgh)",,,,,,
74893315,http://digital.nls.uk/74893315,Johnny Armstrong.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: Is there ever a man in fair Scotland. In two columns..,Electronic reproduction of: Johnny Armstrong. 1 item ;  x  cm.,"Armstrong, John, -1528","James V, King of Scotland, 1512-1542",Ballads (documents),Scottish,Thieves,Murders,"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, United Kingdom, Scotland, Dumfries and Galloway, Langholm (inhabited place)",,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893318,http://digital.nls.uk/74893318,Barrin' o' the door.,"Such, Henry Parker, active 1849 - 1851",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,The barrin' o' the door - first line reads: It fell about the Martinmas time. Westling winds - first line reads: Now westling winds and slaught'ring/ guns. In two columns with an illustration above the first..,Electronic reproduction of: Barrin' o' the door. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Medieval (European),Competitions,Courtships,Love,"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,"Burns, Robert, 1759-1796",,,,,,
74894131,http://digital.nls.uk/74894131,Shabby looking nose.,"Brereton, P. (Printer)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: Kind friends pray give attention. In one column with an illustration above the title. In prose and verse..,Electronic reproduction of: Shabby looking nose. 1 item ;  x  cm.,Ballads (documents),Humor,Woodcuts (prints),"Europe, Republic of Ireland, Leinster, County Dublin, Dublin borough, Dublin (inhabited place)",,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74894347,http://digital.nls.uk/74894347,Annie Laurie.,"Scott, John, Lady, 1810-1900",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: Maxwelton's braes are bonnie. In one column with an illustration above the title and another at the foot of the column..,Electronic reproduction of: Annie Laurie. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Courtships,"Europe, United Kingdom, England (country)","Europe, United Kingdom, Scotland, Dumfries and Galloway, Cairn Water (river)",,,,,,,,Available under Creative Commons license; Attribution,,"Douglas, William, 1672?-1748",,,,,,
74895067,http://digital.nls.uk/74895067,Highland soldier.,"Walker, George, 1758-1835",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,The Highland soldier - first line reads: Of all the towns that I have been in. Poor man's labour never done - first line reads: When I was a young man I lived rarely..,Electronic reproduction of: Highland soldier. 1 item ;  x  cm.,Woodcuts (prints),Ballads (documents),Soldiers,Kilts,Marriage (social construct),Military uniforms,"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, United Kingdom, Scotland, Aberdeen, Aberdeen (inhabited place)","Europe, United Kingdom, Scotland, Angus, Montrose (inhabited place)","Europe, United Kingdom, Scotland, Highland, Inverness (inhabited place)","Europe, United Kingdom, Scotland, Fife, Cupar (inhabited place)","Europe, United Kingdom, Scotland, Aberdeenshire, Peterhead (inhabited place)",Available under Creative Commons license; Attribution,,,,,,,,
74895247,http://digital.nls.uk/74895247,[NLSBLANK].,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,,Electronic reproduction of: [NLSBLANK]. 1 item ;  x  cm.,"Porteous, John, -1736",Ballads (documents),Executions (events),Criminals,Spectators (event observers),"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74895784,http://digital.nls.uk/74895784,Return o my love.,"Pitts, John, 1765-1844",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Return O my love - first line reads: Return O my love and we'el [sic] never never/ part. The banks of Allan water - first line reads: On the banks of Allan water. The soldier's tear - first line reads: Upon the hill he turn'd. Wilt thou say farewell love - first line reads: Wilt thou say farewell, love. In two columns with an illustration above each. Four ballads..",Electronic reproduction of: Return o my love. 1 item ;  x  cm.,Woodcuts (prints),Ballads (documents),Lovers,Deaths,Millers,Daughters,Soldiers,"Europe, United Kingdom, England, Greater London, London (inhabited place)","Europe, United Kingdom, Scotland, Allan Water (river)",,,,Available under Creative Commons license; Attribution,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,,,,,
74896165,http://digital.nls.uk/74896165,Cork leg.,"Walker, George (Printer of North Shields)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,The cork leg - first line reads: A tale I tell now without any flam. Bonnie Prince Charlie - first line reads: Cam' ye by Athol braes' lad wi' the philabeg. In two columns with an illustration above the second..,Electronic reproduction of: Cork leg. 1 item ;  x  cm.,"Charles Edward, Prince, grandson of James II, King of England, 1720-1788",Ballads (documents),Woodcuts (prints),Princes,Kilts,Merchants,Cockades,"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, Netherlands, South Holland, Rotterdam (inhabited place)","Europe, United Kingdom, Scotland, Perth and Kinross, Atholl, Forest of (woods)",,,Available under Creative Commons license; Attribution,,"Hudson, Thomas, -1844",,,,,,
74896816,http://digital.nls.uk/74896816,[NLSBLANK].,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,,Electronic reproduction of: [NLSBLANK]. 1 item ;  x  cm.,Ballads (documents),Customs (social),Aristocracy,Knights,Property (legal concept),Speech (psychological concept),"Europe, United Kingdom, Scotland (country)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74897248,http://digital.nls.uk/74897248,Banks of Doon.,"Burns, Robert, 1759-1796",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"The banks of Doon - first line reads: Ye banks and braes of bonny Doon. The bill sticker - first line reads: I'm Sammy Slap the bill-sticker, and you must all agree, sirs. In two columns with an illustration above each. Two ballads..",Electronic reproduction of: Banks of Doon. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Posters,Billboards (site elements),Paste (adhesive),Lovers,Courtships,Landscapes (environments),Rivers,"Europe, United Kingdom, England, Merseyside, Liverpool urban district, Liverpool (inhabited place)","Europe, United Kingdom, Scotland, East Ayrshire, Doon (river)",,Available under Creative Commons license; Attribution,,,,,,,,
74905968,http://digital.nls.uk/74905968,[NLSBLANK].,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,,Electronic reproduction of: [NLSBLANK]. 1 item ;  x  cm.,"Porteous, John, -1736",Ballads (documents),Executions (events),Criminals,Spectators (event observers),"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74914343,http://digital.nls.uk/74914343,[NLSBLANK].,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,,Electronic reproduction of: [NLSBLANK]. 1 item ;  x  cm.,Ballads (documents),Customs (social),Aristocracy,Knights,Property (legal concept),Speech (psychological concept),"Europe, United Kingdom, Scotland (country)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892406,http://digital.nls.uk/74892406,Jolly gipsies.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,""" ... a new song"". First line reads: Come, come, come you dainty doxies. In one column with a woodcut above and another beneath. In this edition the woodcut at head depicts three women and a child near a house..",Electronic reproduction of: Jolly gipsies. 1 item ;  x  cm.,Romanies,Woodcuts (prints),Ballads (documents),Women (female humans),Children (people by age group),Houses,Prostitutes,Nomads,"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,Available under Creative Commons license; Attribution,,,,,,,,
74893054,http://digital.nls.uk/74893054,General Haynau.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"This ballad concerns Baron Haynau, who, on a visit to London, narrowly escaped lynching when recognized in the street by some draymen from a local brewery (Barclay & Perkin's) for his cruelty in supressing the reform movement in Hungary. First line reads: Good people pay attention pray..",Electronic reproduction of: General Haynau. 1 item ;  x  cm.,"Haynau, Julius Jacob, 1786-1853",Ballads (documents),Woodcuts (prints),Breweries,Workers,"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893660,http://digital.nls.uk/74893660,When we went out a gipsying.,"Walker, George (Printer of North Shields)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,When we went out a gipsying - first line reads: In the days when we went gipsying. Erin's green shore - first line reads: One evening of late as I strayed..,Electronic reproduction of: When we went out a gipsying. 1 item ;  x  cm.,Romanies,Ballads (documents),Woodcuts (prints),Nomads,Emigration,Irish,"Europe, United Kingdom, England, Durham, Durham (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893663,http://digital.nls.uk/74893663,When we went out a gipsying.,"Walker, George, 1758-1835",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,When we went out a gipsying - first line reads: In the days when we went a gipsying. Happy land - first line reads: Happy land! happy land!.,Electronic reproduction of: When we went out a gipsying. 1 item ;  x  cm.,Romanies,Ballads (documents),Woodcuts (prints),Nomads,"Europe, United Kingdom, England, Durham, Durham (inhabited place)",,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893762,http://digital.nls.uk/74893762,Bold Irishman.,"Croshaw, C.",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"First line reads: I am a bold Irishman, just come to town. In one column with a woodcut above the title..",Electronic reproduction of: Bold Irishman. 1 item ;  x  cm.,Irish,Ballads (documents),Woodcuts (prints),Immigrants,Irish,"Europe, United Kingdom, England, York, York (inhabited place)","Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74893873,http://digital.nls.uk/74893873,Jim Crow.,"Walker, George, 1758-1835",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Two ballads. Jim Crow - first line reads: I come from old Kentucky. The triumph of Venus - first line reads: Tho' Bacchus may boast of his care killing bowl. The triumph of Venus: By Captain Morris..,Electronic reproduction of: Jim Crow. 1 item ;  x  cm.,African Americans,Bacchus (Greek deity),Ballads (documents),Woodcuts (prints),Comedy (genre),Dance (discipline),Caricatures,Plantations,Courtships,Love,Stringed instruments (musical instruments),"Europe, United Kingdom, England, Durham, Durham (inhabited place)",Available under Creative Commons license; Attribution,"North and Central America, United States, Kentucky (state)",,"North and Central America, United States, Louisiana, Orleans parish, New Orleans (inhabited place)","North and Central America, United States, Virginia (state)",,,,
74893963,http://digital.nls.uk/74893963,"I'm afloat, I'm afloat.","Walker, George, 1758-1835",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Three ballads. I'm afloat, I'm afloat - first line reads: I'm afloat, I'm afloat, on the fierce rolling tide. Who's dat knocking at de door - first line reads: Ib just come down on a little bit ob spree. Mary Blane - first line reads: I once did lub a pretty gal - I lub'd her as my life-..","Electronic reproduction of: I'm afloat, I'm afloat. 1 item ;  x  cm.",African Americans,Ballads (documents),Woodcuts (prints),Slavery,"Europe, United Kingdom, England, Durham, Durham (inhabited place)",,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74894116,http://digital.nls.uk/74894116,Sich a getting up stairs.,"Walker, George (Printer of North Shields)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Sich a getting up stairs - first line reads: Kentuck one night a party met. The Highland bride - first line reads: Away to the battle, - away, away..",Electronic reproduction of: Sich a getting up stairs. 1 item ;  x  cm.,African Americans,Ballads (documents),Woodcuts (prints),"Europe, United Kingdom, England, Durham, Durham (inhabited place)",,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74894134,http://digital.nls.uk/74894134,Shabby-looking nose.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: Kind friends pray give attention. Air: Uncle Sam. In one column. In prose and verse..,Electronic reproduction of: Shabby-looking nose. 1 item ;  x  cm.,Ballads (documents),Humor,"Europe, United Kingdom, England (country)",,,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74894257,http://digital.nls.uk/74894257,Exhib!tin [sic] and foreigners.,"Hodges, E. (Printer)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"First line reads: Look out, look out, mind what you're about. In prose and verse. In two columns with four illustrations beneath the title..",Electronic reproduction of: Exhib!tin [sic] and foreigners. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Exhibitions (events),"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74894536,http://digital.nls.uk/74894536,Duncan Campbell.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Duncan Campbell - first line reads: My name is Duncan Campbell from the shire of Argyle. I cannot mind my wheel, mother - first line reads: I cannot mind my wheel, mother.Enniskillen dragoon - first line reads: A beautiful damsel of fame and renown. Three ballads..",Electronic reproduction of: Duncan Campbell. 1 item ;  x  cm.,Scots,Ballads (documents),Soldiers,"Europe, United Kingdom, England (country)","Europe, United Kingdom, Scotland, Argyll and Bute, Argyll (general region)",,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
